Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,Do,RF Acc,MMD,MAE x3
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.575,0.02032,0.84113
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.625,0.01554,0.83212
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.625,0.01207,0.83248
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.6,0.01563,0.83305
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.525,0.01743,0.83471
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.55,0.0096,0.83325
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.625,0.01302,0.83282
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.7,0.0149,0.83094
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.65,0.00941,0.83177
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.625,0.01342,0.83498
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.6,0.02024,0.84156
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.625,0.01546,0.83225
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.625,0.01207,0.83191
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.6,0.01563,0.83302
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.01729,0.83463
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.65,0.00971,0.83296
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.65,0.01267,0.83026
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.7,0.01493,0.83065
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.65,0.00941,0.83144
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.7,0.01324,0.83374
3-chain-non-linear,1,42,mse,MSE,1.0,0.0,50,x2=0.0,0.625,0.0273,0.22121
3-chain-non-linear,2,43,mse,MSE,1.0,0.0,50,x2=0.0,0.5,0.02201,0.20679
3-chain-non-linear,3,44,mse,MSE,1.0,0.0,50,x2=0.0,0.525,0.00703,0.20952
3-chain-non-linear,4,45,mse,MSE,1.0,0.0,50,x2=0.0,0.55,0.02386,0.22298
3-chain-non-linear,5,46,mse,MSE,1.0,0.0,50,x2=0.0,0.6,0.02679,0.20993
3-chain-non-linear,6,47,mse,MSE,1.0,0.0,50,x2=0.0,0.575,0.01747,0.20645
3-chain-non-linear,7,48,mse,MSE,1.0,0.0,50,x2=0.0,0.575,0.00879,0.20845
3-chain-non-linear,8,49,mse,MSE,1.0,0.0,50,x2=0.0,0.65,0.0169,0.20821
3-chain-non-linear,9,50,mse,MSE,1.0,0.0,50,x2=0.0,0.6,0.02571,0.22878
3-chain-non-linear,10,51,mse,MSE,1.0,0.0,50,x2=0.0,0.575,0.0197,0.2085
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.625,0.02744,0.22074
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.525,0.02523,0.21177
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.525,0.0074,0.21096
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.675,0.02679,0.21804
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.625,0.02873,0.21107
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.575,0.01799,0.20642
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.575,0.00988,0.20954
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.525,0.0181,0.21686
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.55,0.03065,0.23964
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.525,0.02027,0.21011
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,x2=0.0,0.55,0.0258,0.21572
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,x2=0.0,0.55,0.03291,0.23236
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,x2=0.0,0.55,0.01318,0.20729
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,x2=0.0,0.6,0.02817,0.22444
