Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,2.61125,1.03108,0.0382,0.68857,0.67724,0.02846,,0.00259,0.0509,0.65
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,2.31656,1.02262,0.03572,0.69736,0.68039,0.03231,,0.00222,0.05123,0.7
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,1.25343,0.91262,0.02532,2.67065,1.43972,0.27939,,0.01627,0.0954,0.8
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,2.10228,0.99351,0.02716,2.28274,1.33129,0.19626,,0.01331,0.10232,0.75
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,6.04664,1.12592,0.02642,1.81899,1.17684,0.20616,,0.01488,0.09864,0.75
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,4.96317,1.10084,0.02697,1.57005,1.08189,0.19928,,0.01454,0.09653,0.8
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,2.75019,1.03142,0.02824,1.53435,1.06599,0.19995,,0.01424,0.09447,0.8
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,2.4636,1.01649,0.03118,1.52245,1.06125,0.1949,,0.0138,0.09543,0.8
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,2.17616,1.01214,0.03301,0.60495,0.61785,0.03823,,0.00334,0.03557,0.625
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,2.61125,1.03108,0.0382,0.60561,0.61831,0.03915,,0.00315,0.03531,0.65
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,2.31656,1.02262,0.03572,0.6064,0.61779,0.03678,,0.00248,0.03486,0.65
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,1.68756,0.97558,0.04219,1.96238,1.24362,0.10227,,0.00875,0.06004,0.675
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,1.6666,0.97908,0.04454,1.96547,1.24136,0.09998,,0.00796,0.06435,0.7
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,1.61222,0.97299,0.04102,1.82376,1.19108,0.09918,,0.0081,0.06919,0.75
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,1.55611,0.95729,0.03321,1.563,1.0953,0.09269,,0.00862,0.0815,0.775
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,1.46694,0.95548,0.02338,1.50627,1.06645,0.09765,,0.00818,0.08194,0.775
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,1.47993,0.9648,0.02438,1.44442,1.03851,0.0973,,0.00793,0.0788,0.725
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,1.63933,0.98807,0.04155,1.42769,1.02757,0.101,,0.00782,0.07186,0.725
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,1.56858,0.97737,0.03266,1.37111,1.0071,0.09953,,0.00801,0.07651,0.725
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,1.47413,0.9647,0.02459,1.24407,0.95318,0.103,,0.00857,0.08523,0.75
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,1.68756,0.97558,0.04219,2.41591,1.37256,0.22003,,0.01498,0.088,0.825
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,1.6666,0.97908,0.04454,2.36063,1.35809,0.19807,,0.01434,0.09251,0.75
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,1.61222,0.97299,0.04102,2.1176,1.27973,0.19853,,0.01433,0.09378,0.8
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,1.55611,0.95729,0.03321,1.51605,1.06197,0.19651,,0.0141,0.08323,0.775
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,1.46694,0.95548,0.02338,1.58531,1.09038,0.19375,,0.01414,0.09446,0.725
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,1.47993,0.9648,0.02438,1.6643,1.12175,0.18971,,0.01389,0.10236,0.775
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,1.63933,0.98807,0.04155,1.93935,1.22127,0.18904,,0.01375,0.11593,0.825
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,1.56858,0.97737,0.03266,1.89865,1.20767,0.18969,,0.01373,0.12303,0.75
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,1.47413,0.9647,0.02459,1.6566,1.11836,0.1937,,0.01377,0.1254,0.75
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,1.51601,0.94838,0.02464,1.6982,1.14578,0.11603,,0.01063,0.08266,0.75
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,1.44223,0.94515,0.02255,1.67132,1.12991,0.11056,,0.00892,0.08455,0.75
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,1.47486,0.95186,0.0258,1.06383,0.8703,0.06188,,0.00465,0.0771,0.75
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,1.48425,0.94951,0.03124,0.79185,0.71816,0.07954,,0.00401,0.04893,0.7
