Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
simpson-symprod,100,0.5,0.5,hybrid,10,0.695,0.10055,0.04684,0.0117,0.62047,0.04082
simpson-symprod,100,0.6,0.4,hybrid,10,0.675,0.0527,0.04369,0.00625,0.67133,0.11478
simpson-symprod,100,0.7,0.3,hybrid,10,0.705,0.084,0.04562,0.00757,0.63215,0.04621
simpson-symprod,100,0.8,0.2,hybrid,10,0.71,0.05798,0.04429,0.00808,0.63367,0.047
triangle-linear,50,0.0,1.0,mse,10,0.705,0.08724,0.05817,0.01628,0.53275,0.24063
triangle-linear,50,0.1,0.9,hybrid,10,0.7125,0.07383,0.05542,0.01628,0.66944,0.63698
triangle-linear,50,0.2,0.8,hybrid,10,0.705,0.08233,0.05204,0.01689,0.5079,0.20145
triangle-linear,50,0.3,0.7,hybrid,10,0.6875,0.08271,0.05209,0.01677,0.47849,0.10247
triangle-linear,50,0.4,0.6,hybrid,10,0.73,0.06952,0.0542,0.01643,0.48052,0.12587
triangle-linear,50,0.5,0.5,hybrid,10,0.7475,0.06713,0.0522,0.01668,0.51074,0.19601
triangle-linear,50,0.6,0.4,hybrid,10,0.74,0.06368,0.05375,0.01641,0.54696,0.24319
triangle-linear,50,0.7,0.3,hybrid,10,0.7475,0.07768,0.05369,0.01557,0.53146,0.20352
triangle-linear,50,0.8,0.2,hybrid,10,0.77,0.04972,0.05633,0.01546,0.47268,0.10907
triangle-linear,100,0.0,1.0,mse,10,0.6575,0.0578,0.05119,0.00892,0.40585,0.10974
triangle-linear,100,0.1,0.9,hybrid,10,0.685,0.07091,0.05009,0.00845,0.40884,0.11119
triangle-linear,100,0.2,0.8,hybrid,10,0.6675,0.06352,0.05122,0.01019,0.40643,0.11237
triangle-linear,100,0.3,0.7,hybrid,10,0.6825,0.08169,0.05033,0.00931,0.40847,0.111
triangle-linear,100,0.4,0.6,hybrid,10,0.7,0.08079,0.05271,0.00857,0.40574,0.11087
triangle-linear,100,0.5,0.5,hybrid,10,0.685,0.06368,0.05259,0.00892,0.40579,0.11188
triangle-linear,100,0.6,0.4,hybrid,10,0.7,0.06236,0.04972,0.00959,0.41011,0.10535
triangle-linear,100,0.7,0.3,hybrid,10,0.7325,0.05534,0.05141,0.01044,0.41714,0.10046
triangle-linear,100,0.8,0.2,hybrid,10,0.7225,0.04923,0.04862,0.00719,0.44135,0.10373
triangle-non-linear,50,0.0,1.0,mse,10,0.7875,0.05433,0.0657,0.0121,0.55296,0.17165
