Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
simpson-non-linear,100,0.7,0.3,hybrid,10,0.6875,0.05035,0.05343,0.01125,0.63728,0.21422
simpson-non-linear,100,0.8,0.2,hybrid,10,0.7025,0.04632,0.0576,0.00973,0.70061,0.20226
simpson-symprod,50,0.0,1.0,mse,10,0.765,0.06791,0.07628,0.02016,0.88116,0.3678
simpson-symprod,50,0.1,0.9,hybrid,10,0.7525,0.06503,0.06847,0.02276,0.8955,0.4397
simpson-symprod,50,0.2,0.8,hybrid,10,0.7425,0.04091,0.07154,0.02108,0.90017,0.402
simpson-symprod,50,0.3,0.7,hybrid,10,0.74,0.07472,0.07002,0.02144,0.78708,0.18369
simpson-symprod,50,0.4,0.6,hybrid,10,0.75,0.06562,0.07288,0.02326,0.7497,0.07529
simpson-symprod,50,0.5,0.5,hybrid,10,0.79,0.04441,0.07716,0.02339,0.76402,0.06434
simpson-symprod,50,0.6,0.4,hybrid,10,0.795,0.05503,0.08318,0.02166,0.7724,0.06293
simpson-symprod,50,0.7,0.3,hybrid,10,0.8025,0.05827,0.08754,0.01938,0.81539,0.11662
simpson-symprod,50,0.8,0.2,hybrid,10,0.8025,0.06816,0.09033,0.02096,0.84166,0.14827
simpson-symprod,100,0.0,1.0,mse,10,0.7575,0.07458,0.0685,0.0187,0.75764,0.13816
simpson-symprod,100,0.1,0.9,hybrid,10,0.7625,0.06997,0.06807,0.01835,0.72325,0.07079
simpson-symprod,100,0.2,0.8,hybrid,10,0.765,0.06368,0.06933,0.01725,0.72111,0.06347
simpson-symprod,100,0.3,0.7,hybrid,10,0.77,0.06101,0.07052,0.01619,0.71807,0.05207
simpson-symprod,100,0.4,0.6,hybrid,10,0.77,0.06433,0.06785,0.01927,0.72225,0.06293
simpson-symprod,100,0.5,0.5,hybrid,10,0.7475,0.06609,0.07018,0.02044,0.7387,0.09847
simpson-symprod,100,0.6,0.4,hybrid,10,0.7775,0.02486,0.07608,0.01992,1.06548,0.99873
simpson-symprod,100,0.7,0.3,hybrid,10,0.7575,0.05144,0.07125,0.02053,0.71571,0.06799
simpson-symprod,100,0.8,0.2,hybrid,10,0.78,0.03873,0.07267,0.01979,0.72393,0.06403
triangle-linear,50,0.0,1.0,mse,10,0.68,0.06214,0.05649,0.01165,0.96061,0.81942
triangle-linear,50,0.1,0.9,hybrid,10,0.665,0.07091,0.05686,0.01127,1.09564,0.92226
triangle-linear,50,0.2,0.8,hybrid,10,0.6825,0.06567,0.05985,0.01581,1.1738,1.31686
triangle-linear,50,0.3,0.7,hybrid,10,0.66,0.04888,0.05869,0.01439,1.0413,0.84151
triangle-linear,50,0.4,0.6,hybrid,10,0.685,0.06791,0.05785,0.01443,1.04927,0.84474
triangle-linear,50,0.5,0.5,hybrid,10,0.695,0.04534,0.05668,0.01415,1.03364,0.77177
triangle-linear,50,0.6,0.4,hybrid,10,0.6675,0.05534,0.05865,0.01776,0.91107,0.68403
triangle-linear,50,0.7,0.3,hybrid,10,0.68,0.04684,0.05728,0.01089,0.83056,0.48584
triangle-linear,50,0.8,0.2,hybrid,10,0.6775,0.05458,0.0577,0.01163,1.06245,1.1985
triangle-linear,100,0.0,1.0,mse,10,0.675,0.03909,0.0537,0.01289,0.56581,0.20869
triangle-linear,100,0.1,0.9,hybrid,10,0.6725,0.03623,0.05334,0.01287,0.58316,0.22771
triangle-linear,100,0.2,0.8,hybrid,10,0.68,0.02297,0.05528,0.01259,0.58499,0.21615
triangle-linear,100,0.3,0.7,hybrid,10,0.66,0.04888,0.05614,0.01305,0.5634,0.15089
triangle-linear,100,0.4,0.6,hybrid,10,0.67,0.03496,0.05747,0.0127,0.5113,0.06829
triangle-linear,100,0.5,0.5,hybrid,10,0.665,0.03162,0.05804,0.01179,0.51733,0.06227
triangle-linear,100,0.6,0.4,hybrid,10,0.66,0.03944,0.05695,0.01224,0.53408,0.08564
triangle-linear,100,0.7,0.3,hybrid,10,0.6825,0.02058,0.05954,0.01241,0.53743,0.06133
triangle-linear,100,0.8,0.2,hybrid,10,0.6925,0.03129,0.06135,0.00974,0.57161,0.06768
triangle-non-linear,50,0.0,1.0,mse,10,0.7925,0.07173,0.09156,0.04802,1.30986,1.23745
triangle-non-linear,50,0.1,0.9,hybrid,10,0.79,0.09733,0.08674,0.06653,1.64615,2.28604
triangle-non-linear,50,0.2,0.8,hybrid,10,0.77,0.09413,0.08016,0.04783,0.95815,0.50532
triangle-non-linear,50,0.3,0.7,hybrid,10,0.785,0.07835,0.08047,0.04694,0.82803,0.45502
triangle-non-linear,50,0.4,0.6,hybrid,10,0.7825,0.08744,0.08501,0.04453,0.66311,0.23061
triangle-non-linear,50,0.5,0.5,hybrid,10,0.7725,0.07308,0.08544,0.05509,0.64391,0.20036
triangle-non-linear,50,0.6,0.4,hybrid,10,0.8025,0.08616,0.08966,0.0613,0.73836,0.25222
triangle-non-linear,50,0.7,0.3,hybrid,10,0.7825,0.10073,0.0831,0.06434,0.78428,0.28479
triangle-non-linear,50,0.8,0.2,hybrid,10,0.78,0.08724,0.08547,0.05843,0.75267,0.21293
triangle-non-linear,100,0.0,1.0,mse,10,0.73,0.06749,0.05272,0.02158,0.82316,0.33253
triangle-non-linear,100,0.1,0.9,hybrid,10,0.7375,0.0784,0.05438,0.0203,0.97729,0.87667
triangle-non-linear,100,0.2,0.8,hybrid,10,0.76,0.06258,0.05601,0.02234,1.08219,0.8803
triangle-non-linear,100,0.3,0.7,hybrid,10,0.7675,0.06242,0.05715,0.0225,1.3158,1.41816
triangle-non-linear,100,0.4,0.6,hybrid,10,0.7525,0.08776,0.05735,0.02187,1.21928,1.23377
triangle-non-linear,100,0.5,0.5,hybrid,10,0.7675,0.06877,0.05955,0.02113,1.21785,1.3412
triangle-non-linear,100,0.6,0.4,hybrid,10,0.755,0.06433,0.05598,0.02202,1.17435,1.26258
triangle-non-linear,100,0.7,0.3,hybrid,10,0.7725,0.06503,0.05465,0.02218,0.99099,0.67934
triangle-non-linear,100,0.8,0.2,hybrid,10,0.785,0.05426,0.05118,0.02279,0.84547,0.18914
